,Actual,Dish,Predicted
12,shawarma,Chicken ,chicken
14,breakfast,Scone,dessert
15,chinese,Sesame Beef with Rice,rice
16,crepes,Quesadilla Crepe,quesadilla
18,chinese,Steam Dumpling ,appetizer
19,dessert,Coffee Cupcake,cake
23,appetizer,Stuffed Chilies ,chicken
32,chicken gravy,Chicken Achari Tawa,chicken
36,beef burger,The Special One,chinese
38,masala,Mutton Kabab Nawabi Masala,mutton
42,chicken,Special Hot Plate Chicken,chinese
44,pizza,BBQ Tikka,chicken tikka
45,steak,Something Spicy,chicken burger
49,chicken,Stuffed Ravioli Chicken,pasta
53,rice,Thai Garlic Rice,thai curry
61,pizza,Chicken Hari Boti Pizza,chicken boti
64,handi,Chicken Madrasi,chicken gravy
69,appetizer,Chilli Garlic Prawns,prawns
71,chicken burger,Jalapeno Cheese Grill Burger,burger
73,cold coffee,Americano Latte ,coffee
77,karahi,Mutton Karhai,mutton
79,chicken burger,Mushroom Grilled Burger,burger
91,dessert,Cadbury,ice cream
104,ice cream,Mocha Coffee,coffee
105,shake,Wild Vanilla,ice cream
114,breakfast,Desi,chicken
120,fish,Steamed Fillet with Black Beans,breakfast
127,pizza,Three Pounder,beef burger
132,lobster,Lobster Thermedor,japanese
141,chinese,Chicken with Cashew Nuts,thai curry
142,ice cream,Peanut Caramel Crunch,dessert
144,pizza,Chicken Super Supreme ,chicken
153,chicken,Chicken with Cashew Nuts,thai curry
154,chicken,Cream Chicken,soup
155,steak,Hen Packed ,dessert
157,lemonade,Shikanjabeen,dessert
168,drink,Seasonal fruit Yop,dessert
173,lemonade,Lemonades,dessert
175,appetizer,Chicken on Toast,breakfast
181,arabic,Baba Ganoush,dessert
182,pasta,Chicken Mozzarella ,chicken
187,pasta,Chicken Florida,chicken
201,dessert,Toffee Crunch,drink
203,chicken burger,Peeru's Special Burger,burger
215,chinese,Chef Special Chicken Chowmein,noodles
219,pizza,Fajita Sensation,drink
223,vegetables,Power Veggie Boal,dessert
230,chicken,Cajun Fried Chicken,pasta
237,chicken burger,Zem Burger Double Decker ,burger
251,chicken boti,Chicken Behari,chicken
278,japanese,Alaskam Crabsticks,dessert
300,chicken,Hawaiian Chicken,chinese
318,thai curry,Thai Amazon Chicken,thai
319,paratha roll,Aloo Cheese Roll,breakfast
322,chicken roast,Rotisserie Chicken,chicken
324,chicken,Quattro Chicken,pasta
329,pizza,All Cheese,shawarma
335,thai curry,Lemon Grass and Chili Chicken,chinese
338,pasta,Grilled Prawn Fettuccine ,prawns
340,appetizer,Stuff Jalapeno Thumb,chicken wings
346,ice cream shake,Hand Scooped Ice cream Milkshakes,ice cream
348,chinese,Chicken Vegetable ,chicken
353,beef burger,Mushaboom,dessert
356,soup,Chicken Noodle,noodles
357,beef burger,Famous Star with Cheese,dessert
362,seafood,Fruits De Mer Grilles,dessert
365,chicken,Dera Special Chicken Tawa,chicken gravy
366,burger,Chicky ,chicken burger
369,chicken gravy,Sliced Chicken with Mushroom and Vegetable ,chicken
372,drink,Arnold Palmer,dessert
376,chicken,Full Platter,bbq
382,chicken burger,Big Tower,smoothie
388,chinese,Special Rice,rice
392,wrap,Chicken Malai Boti Wrap,chicken boti
394,chicken tikka,Turkish Seekh Tauk,dessert
395,fish,Tawa Machli,mutton
399,thai curry,Thai Prawn Green Curry,prawns
410,vegetables,Paneer Haryali,karahi
414,cold coffee,Coconut White Chocolate,ice cream
425,mutton kabab,Iskenderi Seekh Kabab,chicken kabab
444,chicken burger,Hub Crunchy,pizza
449,ice cream,Swiss Toblerone ,dessert
452,chicken burger,Pretty Patty,burger
459,chicken,Chopped Meat Pide,dessert
462,chinese,Orange Chicken,chicken
464,chicken burger,Chicken Masala Burger,masala
468,chicken burger,Grigliato Chicken Cheese Blast,chicken
471,nachos,Nacho Nana,appetizer
483,ice cream shake,Chocolate Banana Icecream ,dessert
485,lobster,Thai Spicy Lobster,japanese
487,chinese,Waster Sauce Chicken,chicken steak
495,salad,Yum Sam Krob,noodles
505,chinese,Chicken Green Chili,chicken gravy
507,chicken,Chicken Pita ,naan
510,chinese,Flaming Chicken,chicken
512,pasta,Chicken Primavera,chicken
517,chinese,Chicken With Cashew Nut,thai curry
518,chinese,Chicken Cashewnut,thai curry
520,thai curry,Thai Curry Fish with Basil Coriander,thai
523,chinese,Hunan Beef Black Pepper Sauce,beef steak
525,sandwich,Grilled Chicken Ciabatta ,chicken steak
540,drink,Oreo Pleasure,ice cream
544,pizza,TCR Signature Chocolate Pizza,dessert
547,chicken burger,Honey Mustard Flip,appetizer
551,chinese,Chicken Vegetable,chicken
553,thai curry,Thai Prawn Red Curry,prawns
557,soup,Batair ki Yakhni,batair
563,chinese,Gai Pad Bai Kra Pao,noodles
565,pizza,Chicken Seekh Kabab Pizza,chicken kabab
567,noodles,American Chopsoy,breakfast
578,frappe,Caramel,dessert
594,beef wrap,Open-Face Wrap,wrap
603,beef burger,Spicy Salsa,sandwich
612,salad,Yam Sam Krob,appetizer
613,sandwich,Porto Bello,dessert
626,sandwich,Panini Sandwich,panini
634,burger,Route 66,dessert
640,paratha,Libnani Especial,dessert
642,cake,Cupcake,dessert
655,chicken steak,Triple Breast Chicken,thai curry
658,chinese,Chicken Pineapple Cherry,ice cream
660,burger,Italian Steak Melt Burger,steak
669,thai curry,Thai Sichuan Chicken,thai
685,drink,Lightening Shot,frappe
696,chinese,Chicken Cashew Nuts,thai curry
697,chicken,Chicken Boneless Tawa,masala
701,burger,Grilled Mushroom Combo ,steak
709,noodles,Spicy Shrimps Noodle,shrimp
725,appetizer,Dumplings,dessert
733,fish burger,Classic Prawn Star Burger,burger
737,chinese,Sushi Chicken,japanese
752,sandwich,Fish Sandwich,fish
764,chicken,Aglio e Olio,dessert
784,seafood,Mediterranean Sweet & Sour ,chinese
789,arabic,Flafel,dessert
792,chinese,Beef in Dragon Fire Sauce,beef
796,chicken burger,Chicken Super League,chicken
815,chicken,Mustard Peppercorn Chicken,appetizer
823,chicken,Stir Fried Vevet Chicken with Roasted Cashews,chinese
829,sandwich,Mushroom & Swiss,burger
834,ice cream,After Eight Mint,drink
846,chicken gravy,Chicken Harri Mirch,chicken
850,beef burger,Raging Bull,drink
862,chicken burger,Deal 1,chicken roast
869,pizza,Sizzling Chicken Fajita,chicken
870,japanese,Crunchy California,pizza
875,chicken,Chicken Fries,fries
878,coffee,Special Voltage,cold coffee
884,pizza,Margharita,dessert
885,appetizer,Fried Cashew Nuts,thai curry
897,mutton,Namkeen Seekh Tikka,chicken tikka
902,thai curry,Sesame Honey Chicken Thai Style,thai
917,appetizer,Brushetta Italian Bread,beef burger
923,soup,Rice Bowl Special Soup,rice
931,vegetables,Hash Mash Potato,appetizer
936,pasta,Penne Roasted Vegetables,vegetables
941,chicken,Stir Fried Chicken With Spring Onion Sauce,appetizer
945,chicken gravy,Sweet & Sour Chicken,chinese
947,drink,Mojitos,dessert
953,chicken,Cajun Chicken with Salsa,pasta
956,beef burger,The Boss,dessert
966,pasta,Beef Macaroni ,beef
991,sandwich,Pastrami ,dessert
992,pizza,Fish Tikka Pizza,fish
996,thai curry,Thai Basil with Vegetable,thai
1006,rice,Mushroom Risotto ,appetizer
1013,breakfast,Brunch Sandwich,sandwich
1033,chinese,Beef Manchurian,beef
1036,thai curry,Thai Stir Beef,beef
1043,drink,Sunday Fun Day,chicken
1048,chinese,Chicken Cashewnut,thai curry
1050,drink,Caribbean ,chicken burger
1051,lassi,Noshakh Special Lassi Sweet,drink
1056,chicken,Chicken Cashew Nuts,thai curry
1061,chicken burger,Jalapeno Buzz,burger
1065,dessert,Double Decker Volcano Sizzling,burger
1067,beef burger,Americano,coffee
1069,vegetables,Vege Spud,chicken
1070,chinese,Gaeng Pad Gai,noodles
1073,chinese,Chicken with Button Mushroom,chicken gravy
1076,chinese,Shangai Crispy Chicken,chicken
1078,thai curry,Stir Fried Chicken Cashewnuts,chinese
1080,mutton kabab,Mutton Kabab Masala,masala
1081,chicken gravy,Chicken Palak Paneer Handi,handi
1082,thai curry,Bangkok Chicken,chicken
1091,drink,Oreo Overdose,dessert
1092,pizza,West Side Garlic Chicken,chinese
1094,chicken,Chicken Crispers,burger
1102,chicken burger,Urban Cafe Burger,burger
1110,salad,Yam Woon Sen,appetizer
1111,pizza,Margarita Pizza,margarita
1118,pizza,Prawn and Basil Pizza,prawns
1119,fries,Howdy Deputy,dessert
1131,pizza,Fish Tikka Pizza,fish
1137,chinese,Chicken with Mix Vegetable,vegetables
1159,appetizer,Lebanese Mezze Platter,chicken
1170,dessert,Chocolate Heaven,drink
1176,lemonade,Frozen Lemonades,cold coffee
1178,burger,Texas Burger,chicken burger
1182,dessert,Scoop of Gelato ,ice cream
1186,chicken,Chicken A La Kiev,rice
1189,beef steak,Pepper Steak,steak
1195,chicken,Pollo Rellano,pizza
1207,drink,Blueberry Fantasy,ice cream
1208,beef burger,Spicy Beef,chinese
1214,dessert,Diet Cookies,cold coffee
1227,cold coffee,Latte,coffee
1228,pasta,Atlanto Special,chinese
1237,burger,Juicy Lucy Burger,chicken burger
1245,smoothie,Super Citrus C,tea
1252,pizza,Eggs Florentine Pizza,breakfast
1255,chicken burger,PC Special Burger,burger
1256,pizza,Tandoori Hot,appetizer
1262,pasta,Chicken Piccatta,chicken
1273,paratha,Paratha Platter With Cheese,paratha roll
1279,appetizer,Samosa Platter,samosa
1300,chicken burger,Chicken Patty Burger,burger
1302,pizza,Super Brick Oven Pizza,arabic
1314,thai curry,Shanghai Chicken,chinese
1326,appetizer,Breads,dessert
1329,chinese,Hot & Sour Chicken,soup
1338,drink,X2 Margarita,margarita
1340,burger,Fire Hot Burger,chicken burger
1358,salad,Plain Yogurt,appetizer
1364,chinese,Henny Penny,dessert
1366,chinese,Chicken Oyster,thai curry
1376,thai curry,Thai Szechuan Chicken with Garlic Rice,rice
1378,sandwich,Masoom's Special Sandiwch,chicken
1390,noodles,Rice Bowl Special Chowmein,rice
1392,beef,Lemon Garlic Beef,chinese
1393,chicken,Kids Combo 1,sandwich
1414,dessert,Fried Banana with Ice Cream,ice cream
1418,burger,Fiery Shami Burger,beef burger
1419,tea,Karak Chai,drink
1424,chinese,Yang Chu Chicken,thai curry
1427,pizza,Vegetarian,sandwich
1435,chinese,Schezuan Chicken,chicken
1441,duck,Yem Yem Chy Duck,chinese
1449,arabic,Garlic Lebaneh,seafood
1450,chinese,Chicken 9 Lives,chicken
1455,chicken,Chicken Prawn Steamer,prawns
1459,detox juice,Pure Hydration,coffee
1460,cold coffee,Mochalatta Chill,dessert
1464,cake,Skillet Brownie,dessert
1468,salad,Tex Mex Salad,shawarma
1485,qeema,Beef Qeema Fry,beef
1494,coffee,Mint Chocolate Bomb,cold coffee
1502,breakfast,Turkey Bacon Omelette,sandwich
1506,detox juice,Flat Belly Juice,fresh juice
1518,coffee,Caramel Machiatio,dessert
1522,pizza,Desi Malai Boti Special,chicken boti
1529,sandwich,Chicken Basil Sandwich,thai
1531,pizza,Margarita Pizza,margarita
1533,chicken gravy,Braised Chicken in Hot Spices,chinese
1539,breakfast,Eggs in a turkey Bacon Basket,sandwich
1543,paratha roll,Shish BBQ Chicken Roll,shawarma
1547,chinese,Beef Katsudon,beef
1563,chinese,Basil Beef,thai
1567,lamb,Lamp Chops,bbq
1583,chicken,Char Grilled Moroccan Chicken (special creamy tangy sauce),chicken steak
1607,chicken gravy,Hot Sauce Chicken ,chinese
1608,shake,Banana Cream pie,dessert
1612,pizza,Beef Steak Slices Pizza,beef steak
1622,lemonade,Peach Lemondae,drink
1627,chicken burger,BBQ Flip,appetizer
1638,lamb,Special BBQ Lamb Platter,bbq
1664,chinese,Chicken Fried Rice,rice
1665,coffee,Rick in Java,cold coffee
1668,salad,Quinoa with Chicken Chimichurri ,chicken
1676,handi,Chicken Hyderabadi,chicken
1681,shake,Banana Berry ,drink
1684,chicken burger,Honey Mustard Burger,burger
1687,breakfast,Huevos Rancheros,dessert
1699,chicken kabab,Mouthfull Signature,drink
1701,drink,Tropical Blast,smoothie
1708,cold coffee,Frosted Mocha,coffee
1712,chicken burger,Chicken Rollatini,chicken
1720,chicken tikka,Beef Afghani Tikka,beef
1727,chicken,Three Cheese Chicken,shawarma
1731,beef burger,Big King Beef Sandwich,sandwich
1739,breakfast,Kings Feast,dessert
1746,noodles,Classic Beef Shoyu,beef
1751,chinese,Vegetable Fried Rice,rice
1757,chicken gravy,Spicy Garlic Chicken,chinese
1763,chinese,Chicken with Mix Veggie,chicken
1764,margarita,Margaritas,dessert
1765,cold coffee,Caramel Corretto,dessert
1769,pizza,Spicy Italian,chicken
1770,drink,Luby Duby,dessert
1780,chicken,Cajun Chicken,pasta
1782,ice cream shake,Cookies & Cream Shake,frappe
1785,beef,Arcadian Special Medallions,drink
1791,chicken steak,Gunslinger,dessert
1793,chinese,Sweet & Sour Chicken with Rice,rice
1796,appetizer,Prawn Crackers,prawns
1819,shake,Crazy Snickers,dessert
1824,mutton,Karela Gosht,chicken gravy
1826,chinese,Wensen Chicken,chicken
1831,appetizer,Mix Platter,bbq
1838,pizza,Quatro Formagi,chicken
1842,drink,Tuscany's Mint Margarita,margarita
1844,mutton gravy,Mutton Palak Paneer Handi,handi
1853,breakfast,Pineapple Coconut Oatmeal,ice cream
1858,drink,Fruit Slush,slush
1859,appetizer,Chicken Sesame Strips,chicken
1860,drink,Coffee Toffee,coffee
1873,thai curry,Thai Sweet & Sour Chicken,thai
1875,shake,Oreo Nutella,ice cream
